player_id,total_mentions,total_sentiment,avg_sentiment,total_transfer,total_injury,total_contract,total_performance,total_recency_score
3333,106,12.221727737322704,0.11529931827662929,48,55,33,98,0.2759226877880785
3455,2,0.21227822550543313,0.10613911275271656,0,1,1,2,0.23062981724897885
4192,42,4.799540126478569,0.11427476491615642,15,15,11,37,0.2637862361288316
5023,1,0.1386022927689594,0.1386022927689594,0,0,0,1,0.2775461770650799
7161,8,1.0193619354180437,0.12742024192725546,4,5,1,7,0.25431435767456667
7663,5,0.8866028238162161,0.17732056476324323,0,1,0,1,0.31052174138004884
7825,42,4.778262439017648,0.113768153309944,24,9,18,35,0.28345709194464636
8198,16,2.096235541338374,0.1310147213336484,8,3,6,13,0.2588215697497677
12282,1,0.1541666666666666,0.1541666666666666,1,0,0,0,0.2775461770650799
12563,1,0.0697974644403215,0.0697974644403215,1,0,0,1,0.2775461770650799
13520,2,0.0939940201405085,0.04699701007025425,1,0,0,1,0.3190240790756089
13572,19,2.2293875069218894,0.11733618457483629,3,6,3,19,0.25804570687086625
14086,20,1.3146573561265928,0.06573286780632964,5,9,1,16,0.27119491197366585
14221,4,0.28511505916218083,0.07127876479054521,1,2,0,4,0.37328790313117965
14555,13,1.5667234466985374,0.1205171882075798,9,3,5,13,0.26290742494453295
15773,2,0.31321544813211466,0.15660772406605733,1,0,0,1,0.2775461770650799
15951,1,0.2444184491978609,0.2444184491978609,1,0,1,1,0.2775461770650799
16136,6,0.1876879643464974,0.0312813273910829,2,4,1,4,0.21734108501414004
16306,62,7.342996963158835,0.11843543488965863,32,23,8,43,0.28503020550161356
16633,5,0.3101808253272398,0.06203616506544796,2,3,0,5,0.28820504757530613
16911,2,0.38123473748473746,0.19061736874236873,1,0,0,2,0.2775461770650799
17259,21,1.8709673515384357,0.08909368340659218,9,6,4,18,0.2547593542566433
17965,6,0.6044980279736986,0.10074967132894976,2,1,1,6,0.24503244647369962
18922,125,15.983886128649624,0.127871089029197,38,34,18,106,0.28203265114313814
20463,1,0.2482371794871795,0.2482371794871795,0,0,0,1,0.2775461770650799
22141,9,0.864867085954681,0.09609634288385344,0,6,0,9,0.3019972048623397
22614,4,0.1368552323526813,0.034213808088170324,2,2,0,2,0.34699096014019154
23951,2,0.03333137450784511,0.016665687253922555,0,1,0,2,0.2274789820584051
25488,2,0.1701779701779701,0.08508898508898505,0,0,0,2,0.2594210595740345
25823,23,2.1164342063861152,0.09201887853852675,3,8,3,22,0.2873706337718334
26485,3,0.594265139069982,0.19808837968999402,0,2,0,3,0.2605541021740608
26669,2,0.3237005930577359,0.16185029652886795,1,0,0,2,0.2566372318530409
27300,1,-0.0171129282240393,-0.0171129282240393,1,0,1,1,0.2775461770650799
27389,1,0.140024107628898,0.140024107628898,1,1,0,1,0.2512729527347426
27486,1,0.0513758272378962,0.0513758272378962,0,0,0,1,0.2775461770650799
27490,2,0.2549294732555779,0.12746473662778895,1,1,1,2,0.25085300424379586
27511,1,0.0483870967741935,0.0483870967741935,0,0,0,1,0.2760170009051634
27992,10,0.9074639235143176,0.09074639235143175,3,4,0,10,0.20235122464463756
28003,577,82.0563544684846,0.1422120528049993,180,137,146,474,0.2658165122527579
28021,1,0.1486393011750155,0.1486393011750155,1,1,0,1,0.3048774751617131
28396,12,1.4336314204197358,0.11946928503497799,2,5,2,12,0.2577564610997599
29178,2,0.26032902570169647,0.13016451285084824,1,0,0,2,0.2775461770650799
29241,9,1.1530211969035293,0.12811346632261436,5,2,3,7,0.3417995563459588
29260,24,2.9824442484120874,0.12426851035050364,11,5,11,18,0.27780458931426255
29401,4,0.2657101890926261,0.06642754727315653,0,1,0,3,0.21788474688537268
29559,1,0.1515522875816993,0.1515522875816993,0,1,0,1,0.2699840852624592
29605,1,0.1542669942669942,0.1542669942669942,1,0,0,1,0.1609136068974946
29712,3,0.2714505258092443,0.09048350860308142,1,1,0,3,0.3318565323912421
31835,3,0.7354156520562768,0.2451385506854256,0,1,0,2,0.3004267637336989
31909,59,7.836248304686726,0.1328177678760462,18,14,4,39,0.27565824139492534
32113,1,0.069047619047619,0.069047619047619,1,0,0,1,0.2775461770650799
33027,9,0.4333558003744545,0.0481506444860505,2,2,0,8,0.230040817411975
33571,1,0.0807154052843708,0.0807154052843708,1,0,0,1,0.2775461770650799
33706,8,1.2760237015120524,0.15950296268900654,1,1,2,8,0.34573731015981324
33713,23,2.397082072741847,0.10422095968442813,9,11,4,21,0.24965043391012945
33829,4,0.49942758258718123,0.12485689564679531,1,2,2,4,0.1133094201170481
34556,2,0.4593260791749163,0.22966303958745815,0,1,0,2,0.2775461770650799
34572,2,0.30970615755772013,0.15485307877886006,0,0,0,2,0.30555600934682003
34784,1,0.1247786231181753,0.1247786231181753,1,0,1,1,0.0895889743898375
34787,3,0.48030821608946606,0.1601027386964887,1,0,2,2,0.35361763249186423
35207,3,0.5196866878153361,0.17322889593844537,1,2,0,2,0.21567373591159755
35249,1,0.1444128787878787,0.1444128787878787,0,0,0,1,0.2775461770650799
35416,9,0.6258940648970459,0.06954378498856066,3,6,3,9,0.2492171662497188
35518,37,5.682933746504061,0.1535928039595692,14,12,3,31,0.285750736770674
35564,1,0.117556745056745,0.117556745056745,0,0,1,1,0.101915669585705
36182,2,0.1734214315096668,0.0867107157548334,1,1,0,2,0.2775461770650799
37647,6,0.788033556324726,0.131338926054121,1,2,1,5,0.21708242365096272
37666,4,0.576685606060606,0.1441714015151515,2,0,0,1,0.30589215662797015
37838,2,0.0596694794345169,0.02983473971725845,1,0,1,2,0.3007633591023505
