Player,stats_Born,player_id
Thierno Balde,2002,709482.0
Mitchel Bakker,2000,361065.0
Tommaso Baldanzi,2003,641537.0
Alejandro Balde,2003,636688.0
Carlos Baleba,2004,973085.0
Leonardo Balerdi,1999,575998.0
Mikel Balenziaga,1988,85258.0
Dominic Ballard,2005,864496.0
Iván Balliu,1992,85295.0
Jonathan Bamba,1996,292818.0
Fodé Ballo-Touré,1997,296422.0
Folarin Balogun,2001,503770.0
Patrick Bamford,1993,183334.0
Lameck Banda,2001,545538.0
Filippo Bandinelli,1995,240934.0
Abdoulaye Bamba,1990,62351.0
Léo Baptistão,1992,221899.0
Antonín Barák,1994,272261.0
Andrea Barberis,1993,146680.0
Shandon Baptiste,1998,533916.0
Melvin Bard,2000,532775.0
Bradley Barcola,2002,708265.0
Francesco Bardi,1992,110925.0
Tommaso Barbieri,2002,569939.0
Keidi Bare,1997,295622.0
Nicolò Barella,1997,255942.0
Ross Barkley,1993,131978.0
Leandro Barreiro Martins,2000,357233.0
Aymen Barkok,1998,315332.0
Kike Barja,1997,298575.0
Harvey Barnes,1997,398065.0
Enzo Barrenechea,2001,671915.0
Pablo Barrios,2003,775605.0
Ander Barrenetxea,2001,616369.0
Federico Baschirotto,1996,351955.0
Musa Barrow,1998,486624.0
Toma Bašić,1996,334835.0
Alberto Basso,2004,727865.0
Gil Bastião Dias,1996,329723.0
Alessandro Bastoni,1999,315853.0
Rodrigo Battaglia,1991,89297.0
Simone Bastoni,1996,257751.0
Oliver Baumann,1990,55089.0
Maximilian Bauer,2000,388363.0
Timo Baumgartl,1996,187491.0
Julian Baumgartlinger,1988,34787.0
Christoph Baumgartner,1999,324278.0
Cyrille Bayala,1996,267147.0
Noah Joel Sarenren Bazee,1996,283001.0
Brian Bayeye,2000,715470.0
Bebé,1990,153427.0
Ihlas Bebou,1994,237164.0
Gavin Bazunu,2002,585550.0
Rodrigo Becão,1996,410158.0
Julius Beck,2005,802512.0
Mads Bech Sørensen,1999,372240.0
Sheraldo Becker,1995,188888.0
Jan Bednarek,1996,243028.0
Donny van de Beek,1997,288255.0
Asmir Begović,1987,33873.0
Yanis Begraoui,2001,569376.0
Kevin Behrens,1991,117432.0
Alexis Beka Beka,2001,539065.0
Youcef Belaïli,1992,175014.0
Reda Belahyane,2004,982855.0
Jérémie Bela,1993,170966.0
Haris Belkebla,1994,138055.0
Stefan Bell,1991,82350.0
Armel Bella Kotchap,2001,467563.0
Karim Bellarabi,1990,61087.0
Raoul Bellanova,2000,357992.0
Jean-Ricner Bellegarde,1998,450050.0
Héctor Bellerín,1995,191217.0
Jude Bellingham,2003,581678.0
Jeanuël Belocian,2005,919515.0
Fran Beltrán,1999,423444.0
Salim Ben Seghir,2003,708681.0
Marco Benassi,1994,201040.0
Iker Benito,2002,710679.0
Wissam Ben Yedder,1990,146854.0
Eliesse Ben Seghir,2005,810895.0
Andrea Belotti,1993,167727.0
Ismaël Bennacer,1997,351816.0
Saïd Benrahma,1995,290532.0
Ramy Bensebaini,1995,284732.0
Nabil Bentaleb,1994,245537.0
Daniel Bentley,1993,136401.0
Rodrigo Bentancur,1997,354362.0
Karim Benzema,1987,18922.0
Domenico Berardi,1994,177843.0
Yuri Berchiche,1990,61812.0
Bartosz Bereszyński,1992,144143.0
Patrick Berg,1997,308439.0
Mergim Berisha,1998,307924.0
Mitchell van Bergen,1999,393239.0
Quentin Bernard,1989,98262.0
Juan Bernat,1993,126719.0
Paul Bernardoni,1997,318507.0
Jason Berthomier,1990,306191.0
Marco Bertini,2002,613539.0
Beto,1998,595809.0
Owen Bevan,2003,583990.0
Álex Berenguer,1995,338425.0
Matteo Bianchetti,1993,160986.0
Alessandro Bianco,2002,602124.0
Ermin Bičakčić,1990,51676.0
El Bilal Touré,2001,649016.0
Pedro Bigas,1990,203043.0
Jaka Bijol,1999,371851.0
Giulian Biancone,2000,536507.0
Jean-Claude Billong,1993,391192.0
Philip Billing,1996,320411.0
Veljko Birmančević,1998,419648.0
Cristiano Biraghi,1992,124555.0
Tom Bischof,2005,822959.0
Samuele Birindelli,1999,461019.0
Kristijan Bistrović,1998,375857.0
Antonio Blanco,2000,495621.0
Yves Bissouma,1996,410425.0
Leonardo Bittencourt,1993,93844.0
Lautaro Blanco,1999,831161.0
Marco Bizot,1991,124884.0
Miha Blažič,1993,179806.0
Ludovic Blas,1997,288225.0
Joaquín Blázquez,2001,668996.0
Janis Blaswich,1991,81173.0
Rubén Blanco,1995,199321.0
Jérôme Boateng,1988,26485.0
Daley Blind,1990,12282.0
Kevin-Prince Boateng,1987,16922.0
Myron Boadu,2001,412932.0
Alexis Blin,1996,236041.0
Antonin Bobichon,1995,344575.0
Jeremie Boga,1997,216569.0
Quentin Boisgard,1997,412671.0
Emil Bohinen,1999,406806.0
Jean-Paul Boëtius,1994,182574.0
Willy Boly,1991,142310.0
Giacomo Bonaventura,1989,57280.0
Theo Bongonda,1995,280701.0
Warren Bondo,2003,659516.0
Federico Bonazzoli,1997,241527.0
Kevin Bonifazi,1996,247377.0
Neto Borges,1996,557939.0
Leonardo Bonucci,1987,39983.0
Rafael Borré,1995,323831.0
Sven Botman,2000,361093.0
Yvandro Borges Sanches,2004,586659.0
Erik Botheim,2000,418559.0
Kenji-Van Boto,1996,229012.0
Sebastiaan Bornauw,1999,338629.0
Franci Bouebari,2003,1029294.0
Badredine Bouanani,2004,707242.0
Hicham Boudaoui,1999,560593.0
Sofiane Boufal,1993,232271.0
Yassine Bounou,1991,207834.0
Ismaël Boura,2000,770895.0
Edoardo Bove,2002,562049.0
Lucas Boyé,1996,334222.0
Jarrod Bowen,1996,314875.0
Benjamin Bourigeaud,1994,266359.0
Mehdi Bourabia,1991,131731.0
Jayden Braaf,2002,470391.0
Bilal Brahimi,2000,543051.0
Domagoj Bradarić,1999,357796.0
Martin Braithwaite,1991,95732.0
Lilian Brassier,1999,485960.0
Darko Brašanac,1992,95641.0
Julian Brandt,1996,187492.0
Claudio Bravo,1983,40423.0
James Bree,1997,324223.0
Fabian Bredlow,1995,187624.0
Gleison Bremer,1997,516716.0
Josip Brekalo,1998,293169.0
Armando Broja,2001,571743.0
David Brooks,1997,277033.0
John Brooks,1993,124732.0
Marcelo Brozović,1992,156617.0
Moritz Broschinski,2000,406973.0
Cédric Brunner,1994,147038.0
Dylan Bronn,1995,450417.0
Jacob Bruun Larsen,1998,293281.0
Andreas Bruus,1999,345748.0
Lewis Brunt,2000,533657.0
Joe Bryan,1993,194460.0
Lee Buchanan,2001,532539.0
Ante Budimir,1991,46413.0
Hugo Bueno,2002,698678.0
Emi Buendía,1996,321247.0
Manu Bueno,2004,766723.0
Marius Bülter,1993,116088.0
Santiago Bueno,1998,438001.0
Cristian Buonaiuto,1992,187384.0
Adam Buksa,1996,267160.0
Facundo Buonanotte,2004,983989.0
Alessandro Buongiorno,1999,386446.0
Jonathan Burkardt,2000,333647.0
Dan Burn,1992,134270.0
Oliver Burke,1997,341317.0
Delano Burgzorg,1998,436585.0
Maxime Busi,1999,570817.0
Sergio Busquets,1988,65230.0
Marcin Bułka,1999,465955.0
Aurélio Buta,1997,258039.0
Rémy Cabella,1990,113707.0
Leonardo Buta,2002,653415.0
Jimmy Cabot,1994,206912.0
Arthur Cabral,1998,390638.0
Liberato Cacace,2000,469211.0
Leandro Cabrera,1991,102423.0
Tom Cairney,1991,123275.0
Cafú,1993,347100.0
Moisés Caicedo,2001,687626.0
Anthony Caci,1997,453016.0
Jens Cajuste,1999,468066.0
Davide Calabria,1996,262523.0
Cala,1989,67089.0
Fernando Calero,1995,357884.0
Luca Caldirola,1991,88680.0
Mattia Caldara,1994,197470.0
Kerim Calhanoglu,2002,553905.0
Duje Ćaleta-Car,1996,238266.0
Daniel Caligiuri,1988,38410.0
Hakan Çalhanoğlu,1994,126414.0
Dominic Calvert-Lewin,1997,306024.0
Alexander Callens,1992,147462.0
Mohamed Camara,2000,543382.0
Mahdi Camara,1998,324795.0
Mohamed Camara,1997,426723.0
Ousmane Camara,2001,712618.0
Nicolò Cambiaghi,2000,459151.0
Eduardo Camavinga,2002,640428.0
Axel Camblan,2003,924800.0
Chem Campbell,2002,614603.0
Andrea Cambiaso,2000,459658.0
Sergio Camello,2001,505674.0
Sergio Canales,1991,66106.0
Emre Can,1994,119296.0
João Cancelo,1994,182712.0
Matteo Cancellieri,2002,550106.0
Antonio Candreva,1987,25488.0
Sergi Canós,1997,251845.0
Ander Capa,1992,197545.0
Thomas Cannon,2002,669366.0
Pierrick Capelle,1987,214532.0
Étienne Capoue,1988,63494.0
Gianluca Caprari,1993,146752.0
Francesco Caputo,1987,84765.0
Maxence Caqueret,2000,395237.0
Andrea Carboni,2001,481834.0
Ousmane Camara,2003,804711.0
Franco Carboni,2003,731491.0
Isaac Carcelen,1993,254037.0
Valentin Carboni,2005,787618.0
Irvin Cardona,1997,342226.0
Diego Carlos,1993,329145.0
José Carlos Lazo,1996,282410.0
Carmona,2002,711625.0
Marco Carnesecchi,2000,459763.0
Yannick Carrasco,1993,140776.0
Matis Carvalho,1999,478346.0
Fabio Carvalho,2002,559263.0
William Carvalho,1992,100131.0
Casemiro,1992,16306.0
Nicolò Casale,1998,389837.0
Tommaso Cassandro,2000,412649.0
Matty Cash,1997,425334.0
Timothy Castagne,1995,262226.0
Valentín Castellanos,1998,522784.0
Koen Casteels,1992,108880.0
Michele Castagnetti,1989,195335.0
Jean-Charles Castelletto,1995,182875.0
Jonny Castro,1994,175446.0
Danilo Cataldi,1994,199733.0
Catena,1994,449796.0
Gaetano Castrovilli,1997,303116.0
Samu Castillejo,1995,195171.0
Yoann Cathline,2002,782476.0
Maximiliano Caufriez,1997,369267.0
Pietro Ceccaroni,1995,239099.0
Edinson Cavani,1987,48280.0
Federico Ceccherini,1992,163639.0
Dani Ceballos,1996,319745.0
Assan Ceesay,1994,388382.0
Emil Ceide,2001,508371.0
Fabien Centonze,1996,384859.0
Zeki Çelik,1997,251075.0
Michele Cerofolini,1999,370701.0
Franco Cervi,1994,341110.0
Fares Chaïbi,2002,855015.0
Julian Chabot,1998,303219.0
Florian Chabrolle,1998,418662.0
El Chadaille Bitshiabu,2005,787912.0
Nathaniel Chalobah,1994,128900.0
Trevoh Chalobah,1999,346314.0
Muhammed Cham,2000,422281.0
Calum Chambers,1995,215118.0
Gaëtan Charbonnier,1988,93678.0
Timothy Chandler,1990,49723.0
Brendan Chardonnet,1994,250779.0
Shea Charles,2003,747951.0
Pep Chavarría,1998,596122.0
Pape Cheikh Diop,1997,336828.0
Ivane Chegra,2004,989819.0
Xavier Chavalerin,1991,118278.0
Rayan Cherki,2003,607223.0
Fabio Chiarodia,2005,724104.0
Federico Chiesa,1997,341092.0
Lucas Chevalier,2001,463600.0
Vlad Chiricheș,1989,123261.0
Ben Chilwell,1996,316125.0
Pedro Chirivella,1997,242273.0
Andreas Christensen,1996,196948.0
Joris Chotard,2001,624037.0
Ryan Christie,1995,188077.0
Oliver Christensen,1999,471936.0
Carney Chukwuemeka,2003,659459.0
Samuel Chukwueze,1999,401922.0
Chumi,1999,333361.0
Tolga Ciğerci,1992,94199.0
